Topic,Female Average,Male Average
18,0.12343081152614425,0.14332545253441853
12,0.1047345410402426,0.044350530901530974
3,0.08961888498571866,0.030096715531584356
2,0.0678759410032345,0.03937527329540577
13,0.061798257123240656,0.006994741911790809
8,0.059536617482081056,0.08606221260769027
14,0.05555329770397614,0.026224012911116996
11,0.054255506379858535,0.12471767911548112
4,0.05141661799622371,0.01689238717057267
6,0.0477465023560559,0.05192940003004204
17,0.04059083609129576,0.014106251033289092
9,0.03979248375467518,0.09011327090109286
19,0.039269195376511884,0.02259575121966349
10,0.03738005245652269,0.023070149275721336
0,0.034116350895013005,0.02251742070629483
16,0.02582398397327565,0.02469203699709607
1,0.025497413856689546,0.006598900065941065
7,0.022059468983891693,0.0682051954600884
5,0.010621077942607157,0.07238706573843956
15,0.007305687129059259,0.0837754787889873
