Filename,Total Tokens,Unique Tokens
GPO-CHRG-KENNEDY-2-1-3-2-4.txt,5383,1403
GPO-CHRG-ROBERTS-3-2-6.txt,32,30
GPO-CHRG-ROBERTS-2-1-14.txt,1855,644
GPO-CHRG-ROBERTS-2-1-28.txt,2349,909
GPO-CHRG-SCALIA-2-1.txt,871,424
GPO-CHRG-KENNEDY-2-1-2-2.txt,1176,538
GPO-CHRG-KENNEDY-2-1-2-3.txt,440,239
GPO-CHRG-ROBERTS-2-1-29.txt,1792,670
GPO-CHRG-ROBERTS-2-1-15.txt,1770,675
GPO-CHRG-ROBERTS-3-2-7.txt,128,39
GPO-CHRG-KENNEDY-2-1-3-2-5.txt,4868,1145
GPO-CHRG-KENNEDY-2-2-1-1-18.txt,2055,642
GPO-CHRG-KENNEDY-2-2-1-1-24.txt,2222,687
GPO-CHRG-KENNEDY-2-1-4-5.txt,760,374
GPO-CHRG-SCALIA-3-1-1.txt,43910,4520
GPO-CHRG-SCALIA-2-17.txt,1111,468
GPO-CHRG-KENNEDY-2-3-2-1.txt,568,257
GPO-CHRG-ALITO-2-1-20.txt,2382,863
GPO-CHRG-ROBERTS-2-1-7.txt,96,36
GPO-CHRG-ROBERTS-2-1-6.txt,1695,648
GPO-CHRG-SCALIA-2-16.txt,1739,702
GPO-CHRG-ALITO-2-1-9.txt,2495,760
GPO-CHRG-SCALIA-2-14.txt,1108,450
GPO-CHRG-KENNEDY-2-3-2-2.txt,1110,426
GPO-CHRG-ROBERTS-2-1-4.txt,1806,736
GPO-CHRG-ROBERTS-2-1-5.txt,2311,896
GPO-CHRG-KENNEDY-2-3-2-3.txt,440,217
GPO-CHRG-SCALIA-2-15.txt,1842,691
GPO-CHRG-ALITO-2-1-8.txt,1741,661
GPO-CHRG-SCALIA-2-11.txt,1836,606
GPO-CHRG-ALITO-4-2-3.txt,99,37
GPO-CHRG-ROBERTS-2-1-1.txt,2391,799
GPO-CHRG-ROBERTS-2-3-2.txt,2773,339
GPO-CHRG-ALITO-4-2-2.txt,99,37
GPO-CHRG-SCALIA-2-10.txt,1064,453
GPO-CHRG-KENNEDY-2-1-3-1.txt,1088,449
GPO-CHRG-SCALIA-2-12.txt,1202,523
GPO-CHRG-ALITO-2-1-19.txt,2398,801
GPO-CHRG-ROBERTS-2-1-2.txt,128,39
GPO-CHRG-ROBERTS-2-3-1.txt,1142,490
GPO-CHRG-ROBERTS-2-1-3.txt,1783,730
GPO-CHRG-ALITO-4-2-1.txt,1320,148
GPO-CHRG-ALITO-2-1-18.txt,165,43
GPO-CHRG-SCALIA-2-13.txt,1747,710
