Filename,Total Tokens,Unique Tokens
GPO-CHRG-GINSBURG-2-3-1-1-2-11.txt,4329,1142
GPO-CHRG-GINSBURG-2-3-1-1-2-8.txt,5409,1412
GPO-CHRG-GINSBURG-2-1-2-16-1.txt,1133,487
GPO-CHRG-GINSBURG-2-1-2-14-1.txt,1089,505
GPO-CHRG-GINSBURG-2-3-1-1-2-13.txt,3409,978
GPO-CHRG-SOTOMAYOR-2-1-11.txt,124,37
GPO-CHRG-OCONNOR-2-14.txt,449,236
GPO-CHRG-GINSBURG-2-2-1-1-2-14.txt,4710,1319
GPO-CHRG-OCONNOR-4-21-1.txt,30255,3561
GPO-CHRG-OCONNOR-2-15.txt,446,221
GPO-CHRG-GINSBURG-2-1-2-2-2.txt,1485,583
GPO-CHRG-SOTOMAYOR-2-1-10.txt,1601,622
GPO-CHRG-GINSBURG-2-3-1-1-2-12.txt,1621,595
GPO-CHRG-GINSBURG-2-1-2-13-1.txt,1053,462
GPO-CHRG-SOTOMAYOR-2-1-8.txt,1758,741
GPO-CHRG-GINSBURG-2-1-2-7-1.txt,1562,605
GPO-CHRG-GINSBURG-2-2-1-1-2-2.txt,4474,1248
GPO-CHRG-GINSBURG-2-2-1-1-2-3.txt,4971,1280
GPO-CHRG-GINSBURG-2-1-2-5-2.txt,1376,539
GPO-CHRG-SOTOMAYOR-2-1-9.txt,93,34
GPO-CHRG-GINSBURG-2-1-2-11-2.txt,1258,424
GPO-CHRG-GINSBURG-2-1-3-1-1.txt,1022,435
GPO-CHRG-GINSBURG-2-1-2-7-2.txt,1192,424
GPO-CHRG-GINSBURG-2-2-1-1-2-1.txt,4787,1331
GPO-CHRG-GINSBURG-2-1-2-5-1.txt,1721,547
GPO-CHRG-GINSBURG-2-1-2-11-1.txt,1129,463
GPO-CHRG-GINSBURG-2-1-2-1-1.txt,1062,473
GPO-CHRG-GINSBURG-2-1-2-15-1.txt,1248,417
GPO-CHRG-GINSBURG-2-2-1-1-2-4.txt,5193,1298
GPO-CHRG-GINSBURG-2-2-1-1-2-5.txt,1166,463
GPO-CHRG-GINSBURG-2-1-2-17-2.txt,1427,572
GPO-CHRG-GINSBURG-2-1-2-3-2.txt,1277,544
GPO-CHRG-GINSBURG-2-1-2-15-2.txt,1285,531
GPO-CHRG-GINSBURG-2-2-1-1-2-7.txt,4468,1326
GPO-CHRG-GINSBURG-2-2-1-1-2-6.txt,1075,425
GPO-CHRG-GINSBURG-2-1-4-1.txt,2646,943
GPO-CHRG-GINSBURG-2-1-2-17-1.txt,2368,706
GPO-CHRG-OCONNOR-3-2-1.txt,30255,3561
GPO-CHRG-GINSBURG-2-1-2-3-1.txt,1770,540
